620.65999479,2.38898916
620.68989476,0.00682474
620.68999475,0.001
620.68999476,0.001
620.68999478,0.001
620.89999999,0.49541758
621.16650002,1.01751954
621.74999998,0.30085311
621.89999999,0.00964786
621.95999478,0.00235377
622.00000000,0.802
622.00000001,1.34862353
622.22152588,0.00075252
622.30161526,0.09869889
622.71400001,0.15132411
622.71400004,0.02
622.71400025,0.04
622.81258083,0.01
622.81258084,0.01
622.82787953,0.431804
622.89999999,0.01926474
623.00000000,0.16937012
623.00000001,1
623.40915165,0.04851828
623.65762853,0.00099995
623.65762854,0.01
623.68509990,0.01039033
623.74740919,0.01869378
623.74740921,0.03868662
623.74740923,0.16102631
